"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.188707052306717,0.258061778967414,0.588674105090089,0.0622203981370532,0.124120487487431,0.37833219537011,0.0911012250747197,0.105789862349022,0.294924701051138,0.0290679072237509,0.0479374620224241,0.155509541930015
"2",1999,0.143820441877839,0.22492831379461,0.542356853081755,0.0605478968777449,0.132164778386669,0.347104847422481,0.0543657070098614,0.12045178846687,0.215311174415666,0.0330496958156627,0.0679480742738174,0.170037056793567
"3",2000,0.109286562963182,0.189449809353366,0.515481317602013,0.0536283128255398,0.125818955044399,0.336146853496362,0.0309078228917695,0.111764474187003,0.291137730606781,0.0208985206662973,0.0592075680838782,0.286871627636284
"4",2001,0.117662203611375,0.190963571956599,0.526818018449882,0.0682402783589358,0.106328231001567,0.45267446651595,0.0305707176319534,0.0896416950325561,0.236176881012623,0.0239570185428359,0.055842108560785,0.143250990310546
"5",2002,0.125264302957488,0.227677753409311,0.59926297874488,0.0563954425466503,0.121358527963921,0.407529835300749,0.0293201787336471,0.092467851142119,0.187639699089489,0.0267011290116399,0.0581403313918042,0.12373081670418
"6",2003,0.109325317394815,0.250975874885536,0.548342576266379,0.0624988294807393,0.133117632737546,0.323634202705414,0.0240646506665159,0.0929911818645841,0.30031425326449,0.0224749915583537,0.0637371239145836,0.187537268484081
"7",2004,0.0810900053533573,0.274159202020455,0.630927749410105,0.0761470247888266,0.119871882492674,0.289316757633309,0.022093007734893,0.0882079335958763,0.239256857356838,0.0237682228986256,0.0536915674850739,0.232321841018331
"8",2005,0.152448204361373,0.324285372119872,0.577548147993098,0.0445661757134322,0.113588817605145,0.306780530044317,0.0361908001936084,0.0970397592499448,0.289634581033227,0.0305936417817954,0.0571154177025256,0.210726513208604
"9",2006,0.178207045176002,0.316344314828613,0.551278253300054,0.0535124070444876,0.104012754738141,0.322231417401623,0.0388570054961497,0.0997567501963203,0.279378908382742,0.0266572730834733,0.0533294531370075,0.142702014391041
"10",2007,0.205723258279742,0.353133095465386,0.563189135114533,0.052213266263042,0.128487576523103,0.355003756458687,0.0452512172827976,0.0997345334931919,0.315040993604378,0.0298044192040744,0.0642028088588201,0.177926358289154
"11",2008,0.228531636935627,0.357480195226247,0.594965624816948,0.0727938652833358,0.140828009677976,0.349445368505046,0.032440237164953,0.0936116035088844,0.350385984132673,0.0381296671510665,0.0678224553344973,0.210500786748439
"12",2009,0.214458063819249,0.33243415030516,0.627317171033228,0.0729990741715033,0.129005670405572,0.384103991376028,0.0371104447758926,0.099519271258221,0.313742416562198,0.0355974180385236,0.0717005492119777,0.21381986132721
"13",2010,0.219870649203075,0.3233695197435,0.585122847160766,0.0738397282253941,0.132932143671636,0.349914874717712,0.0258301647887803,0.0967866149092371,0.252408763523396,0.0343365504706978,0.0640366354183274,0.181754844354031
"14",2011,0.0835925884415925,0.27687844839687,0.54403786755962,0.0639638532577625,0.115451955557481,0.345707846854534,0.00988634094815693,0.0783234167795428,0.241223284414485,0.0345175124880709,0.0588451811983535,0.121198835145951
"15",2012,0.148765996420005,0.332345461880811,0.634021226280988,0.0619893897181149,0.145725261331431,0.380088454150309,0.026264648353005,0.0930755417401776,0.271959284295074,0.0215311656011562,0.0621007068627241,0.207218453645286
"16",2013,0.204235832152575,0.368166892342663,0.572114403142978,0.058213762105881,0.144544207283989,0.46653910223049,0.0402433322634787,0.0763089444785522,0.283666223650701,0.0335214929034219,0.0612448464602016,0.183038177831032
"17",2014,0.233880181967235,0.388671057950523,0.602679503257217,0.0773778185666078,0.15258330026206,0.441369576773591,0.0488350738218066,0.0721001442269874,0.289394054401071,0.026096141542826,0.0520738834907542,0.171214365076135
"18",2015,0.201669553133124,0.390901831786859,0.630050789516125,0.0736971234077567,0.160738038619152,0.512699482723094,0.0563631120754192,0.11004457933674,0.313879977784879,0.0453988506008196,0.0721347955353921,0.193230295636326
"19",2016,0.279253497868779,0.501441804109458,0.718042733880877,0.125680941924231,0.227314289363564,0.499411594222954,0.0704472677023616,0.109045831208691,0.305088528136037,0.0389965000018212,0.0851428993712944,0.243109502300908
"20",2017,0.293790814115107,0.492626842730895,0.734963929816228,0.160101477211003,0.253901142985175,0.531540609974192,0.0378738313946214,0.112695599871835,0.327212524932913,0.040518157819246,0.0827582078422208,0.303003944175757
"21",2018,0.389393637192151,0.518303857377015,0.717295360623184,0.0934257537972143,0.265585135690352,0.596985064245401,0.0511030979660819,0.131827458399708,0.356342008246178,0.0511345043102855,0.103205705567003,0.243112367926716
"22",2019,0.442004883967807,0.545066060288335,0.71458242380105,0.161984993485625,0.273293442120637,0.598448589155229,0.0692981254450378,0.152530244142909,0.405635619714299,0.051055865651126,0.0831115218511781,0.261174998605586
